relative_path,sheet,rows,cols,sample_headers
data/modernized_xlsx/LU-NetworkEvolution.xlsx,London Maps,752,12,London Underground geographic maps/Tables | http://commons.wikimedia.org/wiki/London_Underground_geographic_maps
data/modernized_xlsx/LU-NetworkEvolution.xlsx,London Underground Stations,368,16,id-wikipedia | Number-dml | Line | Station | Zone | YEAR | AUTHORITY | CLOSED | display_name | zone | total_lines
data/modernized_xlsx/LU-NetworkEvolution.xlsx,Sheet3,1,1,
data/modernized_xlsx/LondonCoevolutionData-documented.xlsx,Documentation,149,2,Variable | Definition
data/modernized_xlsx/LondonCoevolutionData-documented.xlsx,Data,694,148,uniqueindex | administrative_district | year | population_density | map_code | tube_stations_add | tube_stations_cum | tube_station_density | newtubedens | tube_stations_prev | train_stations_add | train_stations_cum
data/modernized_xlsx/LondonCoevolutionData-documented.xlsx,LanLon,34,3,Borough | Latitude | Longitude
data/modernized_xlsx/LondonCoevolutionData-documented.xlsx,NeighborData,34,12,Borough | Latitude | Longitude | Neighbor nearest London | Other Neighbors | Count
data/modernized_xlsx/NR-NetworkEvolution.xlsx,LineNames,71,2,LINEid | LINE
data/modernized_xlsx/NR-NetworkEvolution.xlsx,Surface Lines,773,16,iNode | jNode | SegmentID | LINE | SEQUENCE | STATIONS | TRANSFERS | SEGMENT OPEN | CLOSED | REOPEN | ORIGINAL NAME
data/modernized_xlsx/NR-NetworkEvolution.xlsx,Surface Links,710,21,iNodeNumber | jNodeNumber | SegmentID1 | SegmentID2 | Short Name I | Short Name j | Linei | Linej | Sequencei | Sequencej | YEARi | YEARj
data/modernized_xlsx/NR-NetworkEvolution.xlsx,Surface Nodes,327,58,"""railway station"" | SHORT NAME | LONG NAME | YEAR | Place | Local authority | TERMINUS [1,0] | NUMBER OF CONNECTIONS | SECOND DEGREE CONNECTIONS | NODE NUMBER | =D1 | =B1"
data/modernized_xlsx/NR-NetworkEvolution.xlsx,Link Names,327,30,iNode | jNode | jNode | jNode | jNode | jNode | jNode | jNode | jNode | jNode | jNode | jNode
data/modernized_xlsx/NR-NetworkEvolution.xlsx,UK Railway Stations,2634,10,Station Name | Postcode | Left Postcode | Right Postcode | Code | Postcode (public domain best) | <easting> | <northing> | <WGS84 lat> | <WGS84 long>
data/modernized_xlsx/NR-NetworkEvolution.xlsx,Post Code,10108,7,# Generated on Fri Nov 24 00:00:10 2006
data/modernized_xlsx/NR-NetworkEvolution.xlsx,Multimap Vertical,327,14,SHORT NAME | NodeNumber | Post Code | ID | X: (m) | Y: (m) | Lat: | Lon: | Lat (std) | Lat (digital) | Lon (std) | Lon (digital)
data/modernized_xlsx/NR-NetworkEvolution.xlsx,Closed Stations,102,15,0
data/modernized_xlsx/NR-NetworkEvolution.xlsx,List of London Railway Stations,559,13,A | Place | Local authority | Managed by | Platforms in use | Station code | Annual entry/exit | Zone | Opening | Closed (pax) | Line1 | Line2
data/modernized_xlsx/PopulationArea.xlsx,Notes,109,6,Source: | Date: | Source:
data/modernized_xlsx/PopulationArea.xlsx,Barking and Dagenham,22,2,Year | Barking and Dagenham
data/modernized_xlsx/PopulationArea.xlsx,Barnet,22,2,ear | Barnet
data/modernized_xlsx/PopulationArea.xlsx,Bexley,22,2,Year | Bexley
data/modernized_xlsx/PopulationArea.xlsx,Brent,22,2,Year | Brent
data/modernized_xlsx/PopulationArea.xlsx,Bromley,22,2,Year | Bromley
data/modernized_xlsx/PopulationArea.xlsx,Camden,22,2,Year | Camden
